state,accountlength,areacode,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls,class,
LA,90.0,408.0, no, no,0.0,140.8,109.0,23.94,303.0,114.0,25.76,267.4,112.0,12.03,14.1,1.0,3.81,0.0, False.,
MI,137.0,415.0, no, no,0.0,137.5,102.0,23.38,176.0,98.0,14.96,210.6,88.0,9.48,10.4,6.0,2.81,0.0, False.,
FL,112.0,415.0, no, no,0.0,115.9,81.0,19.7,199.7,100.0,16.97,249.3,111.0,11.22,10.0,4.0,2.7,1.0, False.,
UT,52.0,408.0, no, no,0.0,288.2,108.0,48.99,129.6,136.0,11.02,229.6,73.0,10.33,9.6,5.0,2.59,4.0, False.,
MT,173.0,510.0, no, yes,20.0,60.2,100.0,10.23,118.1,76.0,10.04,230.1,131.0,10.35,13.3,4.0,3.59,1.0, False.,
OR,3.0,510.0, no, no,0.0,125.5,100.0,21.34,266.2,78.0,22.63,270.4,119.0,12.17,5.9,6.0,1.59,3.0, False.,
AL,120.0,415.0, no, yes,27.0,179.6,142.0,30.53,262.8,103.0,22.34,239.9,81.0,10.8,11.1,2.0,3.0,1.0, False.,
AR,132.0,415.0, no, no,0.0,99.0,126.0,16.83,189.4,76.0,16.1,156.3,108.0,7.03,8.4,3.0,2.27,1.0, False.,
MD,101.0,408.0, no, no,0.0,155.4,71.0,26.42,84.0,122.0,7.14,229.1,97.0,10.31,5.8,1.0,1.57,1.0, False.,
ND,58.0,408.0, no, no,0.0,177.4,107.0,30.16,204.7,104.0,17.4,141.9,123.0,6.39,15.0,9.0,4.05,3.0, False.,
NH,74.0,510.0, no, no,0.0,233.6,72.0,39.71,168.0,103.0,14.28,276.3,71.0,12.43,6.3,2.0,1.7,2.0, False.,
ID,113.0,408.0, no, no,0.0,210.2,109.0,35.73,199.4,81.0,16.95,173.3,94.0,7.8,9.9,4.0,2.67,3.0, False.,
MS,132.0,510.0, no, no,0.0,126.8,83.0,21.56,243.2,97.0,20.67,223.4,106.0,10.05,7.1,5.0,1.92,3.0, False.,
KS,24.0,510.0, no, yes,41.0,187.1,80.0,31.81,286.1,77.0,24.32,188.0,107.0,8.46,10.4,2.0,2.81,1.0, False.,
CT,127.0,408.0, no, no,0.0,155.8,91.0,26.49,103.7,85.0,8.81,117.2,125.0,5.27,8.6,3.0,2.32,2.0, False.,
NJ,85.0,510.0, no, no,0.0,232.1,130.0,39.46,150.7,75.0,12.81,253.9,77.0,11.43,13.0,3.0,3.51,0.0, False.,
SC,59.0,415.0, no, no,0.0,128.7,85.0,21.88,169.8,121.0,14.43,207.3,98.0,9.33,10.5,4.0,2.84,3.0, False.,
NH,15.0,415.0, yes, no,0.0,224.3,85.0,38.13,166.3,79.0,14.14,187.0,117.0,8.41,11.7,3.0,3.16,1.0, False.,
VA,113.0,408.0, no, yes,30.0,208.9,87.0,35.51,145.2,89.0,12.34,198.2,77.0,8.92,14.9,5.0,4.02,2.0, False.,
CO,43.0,415.0, no, no,0.0,184.8,114.0,31.42,130.6,131.0,11.1,175.0,69.0,7.88,8.0,9.0,2.16,0.0, False.,
FL,185.0,510.0, no, yes,24.0,121.6,100.0,20.67,108.3,77.0,9.21,206.3,98.0,9.28,12.3,2.0,3.32,5.0, False.,
AZ,127.0,415.0, no, no,0.0,145.0,106.0,24.65,230.3,99.0,19.58,164.9,103.0,7.42,12.7,3.0,3.43,1.0, False.,
OR,69.0,415.0, no, no,0.0,243.3,101.0,41.36,109.2,99.0,9.28,176.9,138.0,7.96,9.3,3.0,2.51,0.0, False.,
TX,102.0,510.0, no, no,0.0,214.8,60.0,36.52,173.8,70.0,14.77,166.7,90.0,7.5,10.9,2.0,2.94,1.0, False.,
MD,126.0,510.0, no, no,0.0,184.5,56.0,31.37,197.7,91.0,16.8,242.3,74.0,10.9,11.2,3.0,3.02,2.0, False.,
WV,137.0,415.0, no, no,0.0,84.3,98.0,14.33,259.5,115.0,22.06,197.5,115.0,8.89,10.3,2.0,2.78,2.0, False.,
GA,80.0,408.0, no, no,0.0,142.9,70.0,24.29,221.6,83.0,18.84,121.4,111.0,5.46,15.2,4.0,4.1,1.0, False.,
VA,86.0,415.0, no, no,0.0,120.6,82.0,20.5,238.3,96.0,20.26,219.8,125.0,9.89,11.4,5.0,3.08,0.0, False.,
NE,120.0,415.0, no, yes,40.0,222.2,80.0,37.77,223.1,84.0,18.96,164.0,65.0,7.38,12.1,3.0,3.27,1.0, False.,
TX,85.0,408.0, no, yes,21.0,219.3,132.0,37.28,218.2,105.0,18.55,267.6,95.0,12.04,15.7,2.0,4.24,2.0, False.,
VA,103.0,415.0, no, no,0.0,230.2,100.0,39.13,174.1,100.0,14.8,194.1,112.0,8.73,9.0,11.0,2.43,2.0, False.,
DC,53.0,415.0, no, yes,22.0,76.1,115.0,12.94,171.2,119.0,14.55,246.3,126.0,11.08,6.0,2.0,1.62,0.0, False.,
NE,115.0,415.0, yes, no,0.0,147.7,105.0,25.11,184.1,68.0,15.65,153.5,102.0,6.91,12.7,5.0,3.43,0.0, False.,
MS,116.0,408.0, yes, no,0.0,139.4,102.0,23.7,261.8,97.0,22.25,167.4,101.0,7.53,10.5,4.0,2.84,1.0, False.,
TN,93.0,510.0, no, yes,23.0,196.0,91.0,33.32,156.3,107.0,13.29,200.5,68.0,9.02,15.3,2.0,4.13,1.0, False.,
ID,106.0,510.0, no, no,0.0,160.8,73.0,27.34,170.4,112.0,14.48,249.2,131.0,11.21,7.2,3.0,1.94,1.0, False.,
KS,92.0,510.0, no, no,0.0,325.4,73.0,55.32,127.8,100.0,10.86,209.9,98.0,9.45,9.3,10.0,2.51,1.0, False.,
NM,110.0,415.0, no, no,0.0,198.2,92.0,33.69,147.1,97.0,12.5,199.6,76.0,8.98,16.5,4.0,4.46,4.0, False.,
WV,122.0,415.0, yes, no,0.0,168.8,86.0,28.7,237.6,98.0,20.2,204.3,94.0,9.19,5.3,9.0,1.43,1.0, False.,
AL,82.0,415.0, no, no,0.0,273.8,99.0,46.55,123.8,110.0,10.52,147.7,61.0,6.65,6.9,4.0,1.86,2.0, False.,
CO,71.0,415.0, no, no,0.0,217.7,114.0,37.01,182.0,105.0,15.47,113.5,87.0,5.11,8.5,10.0,2.3,4.0, False.,
NJ,91.0,415.0, no, no,0.0,93.5,110.0,15.9,213.3,79.0,18.13,171.7,83.0,7.73,8.9,4.0,2.4,4.0, False.,
ID,109.0,415.0, no, no,0.0,195.4,104.0,33.22,204.9,91.0,17.42,230.2,95.0,10.36,14.0,4.0,3.78,0.0, False.,
WA,126.0,510.0, no, yes,42.0,247.8,96.0,42.13,159.1,98.0,13.52,201.8,73.0,9.08,10.6,3.0,2.86,2.0, False.,
DC,98.0,415.0, no, no,0.0,162.5,81.0,27.63,159.2,114.0,13.53,157.2,97.0,7.07,9.7,1.0,2.62,2.0, False.,
TX,98.0,510.0, no, no,0.0,86.1,78.0,14.64,222.7,130.0,18.93,155.0,124.0,6.98,9.0,7.0,2.43,0.0, False.,
HI,78.0,408.0, no, no,0.0,89.1,124.0,15.15,226.6,121.0,19.26,249.2,88.0,11.21,6.9,5.0,1.86,0.0, False.,
LA,44.0,510.0, no, no,0.0,189.7,122.0,32.25,178.9,72.0,15.21,244.7,93.0,11.01,9.8,5.0,2.65,0.0, False.,
MD,60.0,510.0, no, no,0.0,190.8,100.0,32.44,196.0,85.0,16.66,151.7,110.0,6.83,9.9,9.0,2.67,0.0, False.,
MN,113.0,408.0, no, no,0.0,198.6,115.0,33.76,258.0,106.0,21.93,245.8,104.0,11.06,10.2,6.0,2.75,1.0, False.,
RI,101.0,415.0, no, no,0.0,176.5,105.0,30.01,198.6,136.0,16.88,210.2,150.0,9.46,7.7,5.0,2.08,0.0, False.,
PA,147.0,415.0, no, no,0.0,188.3,80.0,32.01,214.7,123.0,18.25,218.0,89.0,9.81,10.2,4.0,2.75,2.0, False.,
NV,21.0,510.0, no, no,0.0,197.6,105.0,33.59,206.4,88.0,17.54,169.6,143.0,7.63,9.6,2.0,2.59,3.0, False.,
ND,141.0,415.0, no, no,0.0,208.5,129.0,35.45,190.3,86.0,16.18,144.7,93.0,6.51,12.0,9.0,3.24,1.0, False.,
MO,87.0,510.0, no, no,0.0,261.0,83.0,44.37,144.2,95.0,12.26,284.4,119.0,12.8,16.3,1.0,4.4,4.0, False.,
OH,69.0,415.0, no, no,0.0,209.6,94.0,35.63,193.1,106.0,16.41,239.9,90.0,10.8,12.4,4.0,3.35,0.0, False.,
UT,169.0,408.0, no, no,0.0,157.8,96.0,26.83,160.0,120.0,13.6,198.8,112.0,8.95,13.7,6.0,3.7,3.0, False.,
DE,102.0,408.0, no, no,0.0,245.4,82.0,41.72,260.3,124.0,22.13,195.1,82.0,8.78,10.5,3.0,2.84,3.0, False.,
CT,174.0,415.0, no, no,0.0,72.2,80.0,12.27,173.4,81.0,14.74,130.1,121.0,5.85,11.0,5.0,2.97,2.0, False.,
TN,53.0,510.0, no, no,0.0,100.2,85.0,17.03,213.8,90.0,18.17,299.8,67.0,13.49,7.7,4.0,2.08,3.0, False.,
NH,44.0,510.0, no, yes,25.0,152.9,106.0,25.99,205.5,147.0,17.47,247.3,107.0,11.13,8.0,5.0,2.16,1.0, False.,
ID,89.0,415.0, no, yes,15.0,274.0,83.0,46.58,192.2,97.0,16.34,125.9,141.0,5.67,11.9,2.0,3.21,0.0, False.,
NH,116.0,415.0, no, no,0.0,215.6,127.0,36.65,105.5,110.0,8.97,291.7,80.0,13.13,11.2,7.0,3.02,3.0, False.,
LA,143.0,415.0, no, no,0.0,178.2,109.0,30.29,254.6,93.0,21.64,241.3,139.0,10.86,8.5,7.0,2.3,0.0, False.,
VA,78.0,415.0, yes, yes,20.0,252.8,102.0,42.98,217.6,105.0,18.5,107.3,93.0,4.83,11.2,3.0,3.02,0.0, False.,
ID,93.0,415.0, no, no,0.0,216.2,100.0,36.75,182.8,136.0,15.54,237.9,66.0,10.71,7.8,3.0,2.11,2.0, False.,
VA,106.0,408.0, no, no,0.0,165.1,120.0,28.07,290.2,79.0,24.67,250.3,140.0,11.26,8.1,2.0,2.19,0.0, False.,
AL,116.0,408.0, no, no,0.0,133.8,88.0,22.75,177.1,103.0,15.05,185.2,106.0,8.33,12.4,4.0,3.35,2.0, False.,
VT,42.0,415.0, no, no,0.0,217.2,122.0,36.92,303.2,58.0,25.77,147.3,114.0,6.63,14.0,4.0,3.78,2.0, False.,
MS,173.0,415.0, no, no,0.0,82.1,75.0,13.96,201.2,95.0,17.1,206.7,146.0,9.3,9.6,2.0,2.59,1.0, False.,
HI,80.0,510.0, no, no,0.0,157.1,77.0,26.71,302.0,69.0,25.67,317.9,159.0,14.31,15.6,4.0,4.21,0.0, False.,
OH,70.0,510.0, no, yes,23.0,205.5,95.0,34.94,224.3,80.0,19.07,196.1,76.0,8.82,9.7,4.0,2.62,1.0, False.,
MO,162.0,415.0, yes, no,0.0,147.6,126.0,25.09,284.1,84.0,24.15,170.2,87.0,7.66,8.1,7.0,2.19,0.0, False.,
NY,112.0,510.0, no, no,0.0,172.1,73.0,29.26,228.0,136.0,19.38,269.4,96.0,12.12,14.1,3.0,3.81,2.0, False.,
WI,186.0,408.0, no, no,0.0,206.8,104.0,35.16,286.0,115.0,24.31,153.9,112.0,6.93,12.4,6.0,3.35,0.0, False.,
MO,99.0,408.0, no, no,0.0,193.3,51.0,32.86,240.1,117.0,20.41,145.7,92.0,6.56,12.2,4.0,3.29,1.0, False.,
AL,56.0,415.0, no, no,0.0,225.9,52.0,38.4,242.0,69.0,20.57,144.5,68.0,6.5,11.7,3.0,3.16,0.0, False.,
CO,135.0,408.0, no, yes,38.0,202.6,92.0,34.44,169.6,93.0,14.42,185.8,108.0,8.36,11.9,6.0,3.21,4.0, False.,
NJ,83.0,408.0, no, no,0.0,48.4,105.0,8.23,139.7,86.0,11.87,154.1,80.0,6.93,11.5,4.0,3.11,2.0, False.,
SC,48.0,510.0, no, no,0.0,168.6,93.0,28.66,246.0,61.0,20.91,269.9,102.0,12.15,11.4,7.0,3.08,1.0, False.,
AK,112.0,415.0, no, yes,31.0,142.9,92.0,24.29,233.8,107.0,19.87,329.2,142.0,14.81,10.4,6.0,2.81,0.0, False.,
AK,112.0,510.0, no, no,0.0,85.2,102.0,14.48,153.2,118.0,13.02,142.6,107.0,6.42,8.2,4.0,2.21,1.0, False.,
MN,141.0,408.0, no, no,0.0,77.8,123.0,13.23,144.4,119.0,12.27,75.3,65.0,3.39,5.7,7.0,1.54,1.0, False.,
MI,73.0,408.0, no, yes,19.0,179.4,108.0,30.5,93.6,90.0,7.96,234.6,99.0,10.56,14.9,4.0,4.02,2.0, False.,
KS,81.0,510.0, no, no,0.0,139.8,98.0,23.77,247.2,103.0,21.01,241.0,113.0,10.85,11.7,3.0,3.16,3.0, False.,
NJ,165.0,415.0, no, yes,17.0,177.9,68.0,30.24,153.9,112.0,13.08,251.2,121.0,11.3,10.6,7.0,2.86,1.0, False.,
OR,70.0,415.0, no, no,0.0,101.9,98.0,17.32,193.3,113.0,16.43,167.5,126.0,7.54,15.0,6.0,4.05,1.0, False.,
IA,79.0,415.0, no, no,0.0,157.5,90.0,26.78,223.8,83.0,19.02,241.1,98.0,10.85,12.2,4.0,3.29,1.0, False.,
NJ,126.0,415.0, no, no,0.0,167.1,138.0,28.41,154.4,93.0,13.12,244.5,148.0,11.0,13.7,10.0,3.7,3.0, False.,
NY,77.0,510.0, no, no,0.0,124.1,92.0,21.1,214.9,131.0,18.27,241.3,132.0,10.86,13.7,3.0,3.7,0.0, False.,
MN,72.0,408.0, no, yes,31.0,221.4,124.0,37.64,313.4,96.0,26.64,175.9,94.0,7.92,11.8,1.0,3.19,3.0, False.,
MI,142.0,408.0, no, no,0.0,245.1,66.0,41.67,144.6,109.0,12.29,227.3,112.0,10.23,3.1,4.0,0.84,1.0, False.,
NE,169.0,408.0, no, no,0.0,135.7,111.0,23.07,223.0,124.0,18.96,167.5,101.0,7.54,9.5,4.0,2.57,1.0, False.,
OH,110.0,415.0, no, yes,37.0,227.9,80.0,38.74,101.9,141.0,8.66,188.1,110.0,8.46,5.1,6.0,1.38,0.0, False.,
SD,88.0,415.0, no, no,0.0,177.8,112.0,30.23,226.5,80.0,19.25,221.8,71.0,9.98,7.9,4.0,2.13,1.0, False.,
UT,80.0,415.0, no, yes,33.0,189.4,109.0,32.2,148.7,68.0,12.64,208.9,119.0,9.4,11.2,4.0,3.02,1.0, False.,
OH,43.0,510.0, no, yes,39.0,188.3,108.0,32.01,167.6,116.0,14.25,189.9,92.0,8.55,15.6,5.0,4.21,1.0, False.,
MS,144.0,415.0, no, yes,26.0,177.1,94.0,30.11,206.0,85.0,17.51,254.8,95.0,11.47,6.6,2.0,1.78,2.0, False.,
PA,142.0,408.0, no, no,0.0,128.5,95.0,21.85,192.6,91.0,16.37,79.0,95.0,3.56,9.2,6.0,2.48,2.0, False.,
KY,158.0,510.0, no, yes,22.0,192.9,86.0,32.79,219.7,104.0,18.67,169.3,92.0,7.62,10.9,3.0,2.94,2.0, False.,
NH,78.0,408.0, no, yes,28.0,130.5,109.0,22.19,173.3,99.0,14.73,192.2,106.0,8.65,10.4,3.0,2.81,3.0, False.,
MO,131.0,415.0, no, no,0.0,201.1,141.0,34.19,216.5,93.0,18.4,217.4,132.0,9.78,11.5,4.0,3.11,1.0, False.,
TN,61.0,415.0, no, yes,38.0,139.8,108.0,23.77,58.3,120.0,4.96,203.4,160.0,9.15,9.7,1.0,2.62,3.0, False.,
TN,73.0,510.0, no, yes,6.0,237.6,105.0,40.39,244.9,98.0,20.82,188.3,107.0,8.47,6.8,11.0,1.84,4.0, False.,
AL,100.0,415.0, no, yes,26.0,197.7,80.0,33.61,232.6,83.0,19.77,196.7,120.0,8.85,12.0,5.0,3.24,1.0, False.,
LA,100.0,510.0, no, no,0.0,222.1,115.0,37.76,245.0,130.0,20.83,129.3,119.0,5.82,8.1,2.0,2.19,2.0, False.,
NV,109.0,408.0, no, yes,39.0,270.0,58.0,45.9,235.5,108.0,20.02,194.3,57.0,8.74,7.8,6.0,2.11,1.0, False.,
MI,103.0,510.0, no, yes,29.0,211.6,111.0,35.97,237.9,84.0,20.22,209.4,93.0,9.42,14.0,7.0,3.78,2.0, False.,
OK,139.0,510.0, no, no,0.0,148.7,90.0,25.28,204.3,106.0,17.37,144.1,105.0,6.48,9.8,4.0,2.65,2.0, False.,
NE,63.0,510.0, no, no,0.0,81.7,105.0,13.89,203.0,66.0,17.26,181.2,109.0,8.15,12.9,3.0,3.48,2.0, False.,
FL,115.0,510.0, no, no,0.0,143.6,135.0,24.41,278.0,119.0,23.63,46.7,84.0,2.1,12.7,3.0,3.43,0.0, False.,
MD,77.0,415.0, no, no,0.0,205.3,69.0,34.9,171.0,84.0,14.54,242.4,96.0,10.91,10.1,2.0,2.73,3.0, False.,
KY,14.0,415.0, no, no,0.0,184.5,77.0,31.37,272.5,103.0,23.16,190.3,129.0,8.56,9.7,3.0,2.62,4.0, False.,
NY,81.0,415.0, no, no,0.0,140.8,97.0,23.94,211.5,109.0,17.98,216.9,53.0,9.76,12.2,4.0,3.29,0.0, False.,
KY,113.0,415.0, no, no,0.0,140.8,107.0,23.94,252.6,87.0,21.47,215.4,136.0,9.69,9.1,4.0,2.46,3.0, False.,
MS,93.0,415.0, yes, yes,36.0,169.7,109.0,28.85,318.6,88.0,27.08,246.5,95.0,11.09,9.8,3.0,2.65,0.0, False.,
WI,77.0,408.0, no, no,0.0,168.1,83.0,28.58,202.0,91.0,17.17,173.2,91.0,7.79,10.0,3.0,2.7,3.0, False.,
NH,125.0,415.0, no, yes,25.0,190.1,133.0,32.32,181.1,61.0,15.39,104.0,110.0,4.68,12.5,3.0,3.38,2.0, False.,
OR,88.0,408.0, no, no,0.0,192.6,96.0,32.74,184.0,92.0,15.64,173.6,113.0,7.81,8.8,6.0,2.38,2.0, False.,
WI,89.0,408.0, no, no,0.0,234.8,95.0,39.92,109.7,87.0,9.32,180.3,99.0,8.11,10.4,2.0,2.81,0.0, False.,
ID,40.0,510.0, no, no,0.0,146.4,105.0,24.89,196.4,143.0,16.69,235.6,123.0,10.6,9.4,3.0,2.54,3.0, False.,
KS,124.0,510.0, no, no,0.0,247.2,84.0,42.02,161.9,130.0,13.76,170.3,73.0,7.66,6.1,6.0,1.65,1.0, False.,
WY,117.0,415.0, no, no,0.0,234.8,118.0,39.92,211.7,112.0,17.99,147.0,97.0,6.61,7.5,3.0,2.03,2.0, False.,
MT,83.0,408.0, no, no,0.0,185.9,115.0,31.6,232.5,98.0,19.76,205.2,124.0,9.23,10.2,2.0,2.75,2.0, False.,
ID,7.0,408.0, no, no,0.0,98.5,85.0,16.75,200.3,80.0,17.03,252.3,68.0,11.35,12.0,7.0,3.24,2.0, False.,
TX,104.0,415.0, no, no,0.0,304.0,141.0,51.68,264.1,127.0,22.45,138.1,104.0,6.21,7.2,4.0,1.94,0.0, False.,
WV,128.0,415.0, no, no,0.0,140.3,108.0,23.85,235.3,111.0,20.0,200.8,57.0,9.04,11.8,6.0,3.19,1.0, False.,
NY,76.0,415.0, no, no,0.0,201.5,127.0,34.26,155.2,91.0,13.19,249.6,103.0,11.23,8.6,1.0,2.32,2.0, False.,
NJ,135.0,415.0, no, no,0.0,191.7,125.0,32.59,284.2,100.0,24.16,211.7,87.0,9.53,12.5,2.0,3.38,0.0, False.,
KS,59.0,510.0, no, yes,45.0,71.2,113.0,12.1,233.7,95.0,19.86,139.3,129.0,6.27,14.0,12.0,3.78,1.0, False.,
IA,111.0,510.0, no, yes,33.0,168.1,97.0,28.58,204.0,88.0,17.34,260.9,97.0,11.74,15.1,3.0,4.08,1.0, False.,
MS,110.0,415.0, no, no,0.0,178.4,110.0,30.33,179.1,116.0,15.22,228.1,99.0,10.26,6.5,4.0,1.76,1.0, False.,
MI,173.0,415.0, yes, yes,18.0,127.2,89.0,21.62,130.7,114.0,11.11,229.7,115.0,10.34,11.2,5.0,3.02,2.0, False.,
DE,60.0,510.0, no, no,0.0,230.7,66.0,39.22,165.4,65.0,14.06,309.1,139.0,13.91,13.3,10.0,3.59,1.0, False.,
IL,117.0,408.0, no, no,0.0,228.3,84.0,38.81,152.6,92.0,12.97,309.7,101.0,13.94,3.7,3.0,1.0,3.0, False.,
VA,54.0,408.0, no, no,0.0,197.7,84.0,33.61,221.3,89.0,18.81,189.4,109.0,8.52,7.8,3.0,2.11,2.0, False.,
IN,76.0,415.0, no, yes,35.0,273.7,94.0,46.53,153.3,101.0,13.03,259.0,109.0,11.66,3.8,3.0,1.03,0.0, False.,
ME,167.0,510.0, no, yes,30.0,195.8,118.0,33.29,166.4,109.0,14.14,297.4,84.0,13.38,11.7,2.0,3.16,0.0, False.,
TN,98.0,415.0, no, no,0.0,190.5,106.0,32.39,164.2,92.0,13.96,110.8,88.0,4.99,11.4,5.0,3.08,2.0, False.,
WV,74.0,408.0, no, no,0.0,176.1,79.0,29.94,208.3,105.0,17.71,237.5,86.0,10.69,16.1,4.0,4.35,4.0, False.,
TX,112.0,415.0, no, no,0.0,210.4,78.0,35.77,172.4,75.0,14.65,240.0,105.0,10.8,11.7,3.0,3.16,2.0, False.,
MT,138.0,415.0, no, yes,28.0,151.0,59.0,25.67,269.5,122.0,22.91,179.4,116.0,8.07,8.9,9.0,2.4,0.0, False.,
AL,65.0,415.0, no, no,0.0,144.3,109.0,24.53,331.3,89.0,28.16,155.3,69.0,6.99,11.8,15.0,3.19,3.0, False.,
FL,194.0,408.0, no, yes,42.0,203.7,109.0,34.63,192.9,125.0,16.4,318.0,81.0,14.31,10.8,16.0,2.92,3.0, False.,
KY,131.0,415.0, no, no,0.0,210.1,97.0,35.72,177.3,96.0,15.07,130.2,136.0,5.86,13.3,1.0,3.59,0.0, False.,
PA,54.0,415.0, no, no,0.0,230.2,89.0,39.13,148.7,110.0,12.64,255.6,139.0,11.5,8.1,3.0,2.19,4.0, False.,
OH,78.0,415.0, no, yes,27.0,121.9,88.0,20.72,225.4,75.0,19.16,90.8,118.0,4.09,13.0,4.0,3.51,3.0, False.,
NY,115.0,408.0, no, yes,30.0,181.2,65.0,30.8,193.2,62.0,16.42,153.2,92.0,6.89,9.9,6.0,2.67,2.0, False.,
ID,99.0,415.0, no, no,0.0,201.5,103.0,34.26,124.2,120.0,10.56,239.9,56.0,10.8,11.5,3.0,3.11,0.0, False.,
NJ,120.0,415.0, no, no,0.0,146.0,58.0,24.82,208.7,103.0,17.74,215.5,91.0,9.7,11.9,2.0,3.21,0.0, False.,
CA,112.0,415.0, no, no,0.0,105.3,101.0,17.9,187.2,92.0,15.91,206.4,101.0,9.29,11.1,2.0,3.0,4.0, False.,
NM,1.0,510.0, no, yes,26.0,69.7,84.0,11.85,250.4,79.0,21.28,230.2,122.0,10.36,8.3,3.0,2.24,2.0, False.,
VA,94.0,415.0, no, no,0.0,208.1,72.0,35.38,188.0,79.0,15.98,162.0,96.0,7.29,4.6,5.0,1.24,2.0, False.,
UT,94.0,415.0, no, no,0.0,183.1,109.0,31.13,199.4,109.0,16.95,214.1,71.0,9.63,13.9,4.0,3.75,0.0, False.,
MO,178.0,408.0, no, yes,32.0,148.7,95.0,25.28,198.6,55.0,16.88,187.0,113.0,8.41,10.4,7.0,2.81,6.0, False.,
WV,136.0,510.0, no, no,0.0,240.1,121.0,40.82,271.2,123.0,23.05,132.7,98.0,5.97,17.2,4.0,4.64,0.0, False.,
ND,86.0,415.0, no, yes,25.0,126.4,97.0,21.49,189.7,118.0,16.12,233.6,97.0,10.51,12.0,2.0,3.24,1.0, False.,
MO,87.0,408.0, no, no,0.0,156.0,70.0,26.52,160.5,89.0,13.64,206.6,112.0,9.3,7.1,3.0,1.92,4.0, False.,
KS,18.0,510.0, no, no,0.0,180.2,115.0,30.63,83.4,114.0,7.09,245.3,111.0,11.04,11.9,6.0,3.21,1.0, False.,
CO,49.0,415.0, no, no,0.0,172.0,142.0,29.24,224.0,100.0,19.04,177.3,86.0,7.98,7.4,1.0,2.0,0.0, False.,
OH,20.0,415.0, no, yes,27.0,231.6,105.0,39.37,223.3,120.0,18.98,212.0,99.0,9.54,8.9,4.0,2.4,1.0, False.,
IN,131.0,415.0, no, yes,29.0,42.1,114.0,7.16,183.3,70.0,15.58,158.7,82.0,7.14,10.0,1.0,2.7,0.0, False.,
NE,11.0,415.0, no, no,0.0,136.6,111.0,23.22,80.6,78.0,6.85,201.7,77.0,9.08,9.9,4.0,2.67,0.0, False.,
OK,99.0,408.0, no, no,0.0,155.6,90.0,26.45,240.1,117.0,20.41,230.8,88.0,10.39,10.8,4.0,2.92,3.0, False.,
ID,61.0,415.0, no, no,0.0,234.6,126.0,39.88,200.7,76.0,17.06,171.1,81.0,7.7,8.1,2.0,2.19,0.0, False.,
DE,137.0,415.0, no, no,0.0,115.5,101.0,19.64,226.2,81.0,19.23,179.1,123.0,8.06,13.6,4.0,3.67,0.0, False.,
WA,49.0,510.0, no, yes,42.0,159.0,67.0,27.03,126.3,125.0,10.74,206.8,88.0,9.31,7.4,3.0,2.0,2.0, False.,
MA,83.0,408.0, no, no,0.0,286.6,114.0,48.72,101.0,138.0,8.59,199.6,146.0,8.98,13.2,4.0,3.56,1.0, False.,
MA,192.0,510.0, no, no,0.0,174.5,83.0,29.67,232.7,102.0,19.78,101.5,68.0,4.57,12.4,4.0,3.35,1.0, False.,
FL,105.0,408.0, no, no,0.0,181.9,70.0,30.92,233.5,83.0,19.85,194.6,80.0,8.76,8.1,9.0,2.19,1.0, False.,
AR,124.0,408.0, no, no,0.0,192.6,108.0,32.74,223.3,106.0,18.98,187.0,84.0,8.41,4.2,2.0,1.13,1.0, False.,
AR,90.0,408.0, no, no,0.0,235.0,77.0,39.95,267.3,94.0,22.72,222.1,119.0,9.99,5.3,4.0,1.43,3.0, False.,
AL,111.0,415.0, no, no,0.0,187.8,107.0,31.93,246.0,70.0,20.91,175.9,88.0,7.92,10.5,7.0,2.84,0.0, False.,
CA,135.0,408.0, no, no,0.0,167.1,105.0,28.41,131.6,120.0,11.19,242.6,83.0,10.92,10.4,2.0,2.81,3.0, False.,
RI,121.0,415.0, no, yes,22.0,212.3,107.0,36.09,238.0,94.0,20.23,332.8,114.0,14.98,10.4,2.0,2.81,1.0, False.,
ND,57.0,415.0, yes, no,0.0,227.4,94.0,38.66,146.4,115.0,12.44,211.4,92.0,9.51,8.3,5.0,2.24,1.0, False.,
MT,63.0,415.0, no, no,0.0,162.5,86.0,27.63,165.4,112.0,14.06,163.7,67.0,7.37,13.4,6.0,3.62,4.0, False.,
SC,97.0,510.0, no, no,0.0,164.2,97.0,27.91,232.2,85.0,19.74,198.8,118.0,8.95,6.5,3.0,1.76,1.0, False.,
VA,93.0,510.0, yes, no,0.0,172.4,133.0,29.31,205.6,77.0,17.48,245.8,126.0,11.06,9.1,9.0,2.46,1.0, False.,
NJ,97.0,415.0, no, no,0.0,259.6,138.0,44.13,233.9,91.0,19.88,140.6,119.0,6.33,13.0,4.0,3.51,1.0, False.,
OK,134.0,408.0, no, yes,10.0,159.4,79.0,27.1,91.0,94.0,7.74,199.5,137.0,8.98,10.0,3.0,2.7,2.0, False.,
ME,57.0,510.0, no, yes,37.0,69.5,94.0,11.82,220.9,76.0,18.78,218.5,113.0,9.83,11.9,3.0,3.21,0.0, False.,
OK,109.0,415.0, yes, no,0.0,166.5,101.0,28.31,268.4,119.0,22.81,126.2,112.0,5.68,10.2,3.0,2.75,3.0, False.,
