state,accountlength,areacode,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls,class
NC,135.0,415.0, no, no,0.0,201.8,81.0,34.31,225.0,114.0,19.13,204.4,82.0,9.2,10.3,6.0,2.78,1.0, False.
NM,56.0,408.0, no, no,0.0,197.0,110.0,33.49,222.8,102.0,18.94,225.3,91.0,10.14,10.6,6.0,2.86,2.0, False.
CA,151.0,415.0, yes, no,0.0,218.0,57.0,37.06,114.4,88.0,9.72,269.2,95.0,12.11,12.4,1.0,3.35,0.0, True.
NY,32.0,415.0, no, no,0.0,164.8,98.0,28.02,229.9,96.0,19.54,167.3,108.0,7.53,14.8,2.0,4.0,2.0, False.
AZ,90.0,415.0, no, no,0.0,179.2,77.0,30.46,210.7,99.0,17.91,276.9,58.0,12.46,9.2,6.0,2.48,2.0, False.
SD,87.0,415.0, no, yes,21.0,214.0,113.0,36.38,180.0,114.0,15.3,134.5,82.0,6.05,10.6,5.0,2.86,0.0, False.
DC,138.0,415.0, no, no,0.0,170.5,87.0,28.99,118.2,116.0,10.05,187.9,111.0,8.46,11.2,7.0,3.02,2.0, False.
ND,79.0,408.0, no, no,0.0,205.7,123.0,34.97,214.5,108.0,18.23,226.1,106.0,10.17,6.7,18.0,1.81,1.0, False.
MO,95.0,415.0, yes, no,0.0,165.5,84.0,28.14,286.2,112.0,24.33,198.9,89.0,8.95,11.5,2.0,3.11,1.0, True.
KS,127.0,415.0, no, no,0.0,221.0,100.0,37.57,160.7,113.0,13.66,233.1,96.0,10.49,6.8,4.0,1.84,2.0, False.
SD,137.0,510.0, no, no,0.0,242.1,118.0,41.16,191.0,93.0,16.24,218.6,50.0,9.84,14.7,2.0,3.97,3.0, False.
OK,97.0,415.0, no, no,0.0,151.6,107.0,25.77,155.4,96.0,13.21,240.0,112.0,10.8,14.7,4.0,3.97,1.0, False.
OR,149.0,415.0, yes, no,0.0,176.2,87.0,29.95,145.0,81.0,12.33,249.5,92.0,11.23,5.7,4.0,1.54,0.0, False.
IN,117.0,415.0, yes, yes,22.0,196.0,82.0,33.32,322.7,82.0,27.43,225.6,120.0,10.15,3.7,5.0,1.0,1.0, False.
OH,84.0,408.0, no, no,0.0,159.5,125.0,27.12,247.1,90.0,21.0,187.9,82.0,8.46,7.2,4.0,1.94,2.0, False.
KS,137.0,415.0, no, no,0.0,230.2,113.0,39.13,220.4,79.0,18.73,204.7,111.0,9.21,10.7,7.0,2.89,4.0, False.
CT,99.0,415.0, no, no,0.0,146.7,64.0,24.94,274.0,99.0,23.29,321.3,98.0,14.46,8.9,1.0,2.4,3.0, False.
NH,54.0,510.0, no, no,0.0,210.5,102.0,35.79,204.5,83.0,17.38,127.8,53.0,5.75,8.5,5.0,2.3,1.0, False.
WI,85.0,415.0, no, no,0.0,102.0,95.0,17.34,270.2,139.0,22.97,148.2,105.0,6.67,10.7,3.0,2.89,1.0, False.
MS,150.0,510.0, no, no,0.0,126.0,99.0,21.42,238.5,73.0,20.27,285.1,100.0,12.83,10.2,6.0,2.75,3.0, False.
WV,43.0,415.0, no, no,0.0,168.4,125.0,28.63,243.8,89.0,20.72,214.7,102.0,9.66,11.1,2.0,3.0,1.0, False.
MA,35.0,415.0, no, no,0.0,105.6,129.0,17.95,258.2,129.0,21.95,213.1,77.0,9.59,8.7,3.0,2.35,0.0, False.
MD,98.0,415.0, no, no,0.0,206.5,92.0,35.11,176.2,152.0,14.98,232.8,115.0,10.48,12.4,5.0,3.35,5.0, False.
PA,112.0,510.0, no, no,0.0,217.1,76.0,36.91,205.2,100.0,17.44,185.7,91.0,8.36,9.4,3.0,2.54,2.0, False.
WI,16.0,510.0, no, no,0.0,229.6,78.0,39.03,205.7,108.0,17.48,166.2,91.0,7.48,10.8,2.0,2.92,0.0, True.
TN,98.0,415.0, no, yes,22.0,278.3,89.0,47.31,93.4,143.0,7.94,107.6,42.0,4.84,9.7,5.0,2.62,0.0, False.
TX,84.0,408.0, no, no,0.0,138.6,102.0,23.56,199.0,93.0,16.92,204.1,137.0,9.18,7.8,4.0,2.11,0.0, False.
OR,94.0,415.0, no, no,0.0,234.4,103.0,39.85,279.3,109.0,23.74,234.2,121.0,10.54,2.0,2.0,0.54,1.0, True.
IL,84.0,510.0, no, no,0.0,181.5,129.0,30.86,130.7,112.0,11.11,186.5,118.0,8.39,8.5,4.0,2.3,1.0, False.
DC,66.0,415.0, no, no,0.0,167.3,91.0,28.44,230.0,68.0,19.55,191.7,118.0,8.63,10.6,5.0,2.86,1.0, True.
GA,98.0,415.0, no, yes,31.0,121.0,105.0,20.57,218.9,98.0,18.61,226.7,110.0,10.2,12.0,1.0,3.24,1.0, False.
ID,74.0,415.0, no, no,0.0,221.1,124.0,37.59,110.8,94.0,9.42,240.1,112.0,10.8,10.6,3.0,2.86,0.0, False.
UT,96.0,408.0, no, yes,26.0,145.8,108.0,24.79,192.2,89.0,16.34,165.1,96.0,7.43,9.9,2.0,2.67,1.0, False.
KY,119.0,510.0, no, no,0.0,222.8,122.0,37.88,163.2,107.0,13.87,160.6,112.0,7.23,11.2,6.0,3.02,1.0, False.
OH,73.0,415.0, no, no,0.0,183.4,80.0,31.18,242.0,115.0,20.57,201.4,100.0,9.06,7.5,3.0,2.03,4.0, False.
WI,92.0,415.0, yes, no,0.0,264.3,91.0,44.93,160.9,115.0,13.68,198.6,73.0,8.94,9.3,5.0,2.51,0.0, False.
IL,21.0,415.0, no, no,0.0,146.0,78.0,24.82,109.7,79.0,9.32,247.4,108.0,11.13,6.8,7.0,1.84,0.0, False.
DE,122.0,510.0, no, no,0.0,157.1,134.0,26.71,184.9,122.0,15.72,197.2,59.0,8.87,8.5,5.0,2.3,4.0, True.
RI,133.0,510.0, yes, no,0.0,127.3,108.0,21.64,251.3,81.0,21.36,135.0,88.0,6.08,10.3,3.0,2.78,1.0, False.
TX,145.0,415.0, no, no,0.0,187.9,110.0,31.94,197.0,117.0,16.75,167.0,108.0,7.52,4.8,4.0,1.3,2.0, False.
OR,25.0,408.0, no, no,0.0,178.8,90.0,30.4,141.2,72.0,12.0,203.0,99.0,9.14,8.4,5.0,2.27,2.0, False.
NV,64.0,415.0, no, no,0.0,97.2,80.0,16.52,186.2,90.0,15.83,189.0,92.0,8.5,10.4,6.0,2.81,2.0, False.
NE,85.0,415.0, no, no,0.0,259.8,85.0,44.17,242.3,117.0,20.6,168.8,72.0,7.6,5.4,1.0,1.46,0.0, False.
MS,126.0,415.0, no, no,0.0,256.5,112.0,43.61,199.5,90.0,16.96,188.3,122.0,8.47,7.0,5.0,1.89,3.0, False.
OR,76.0,415.0, no, no,0.0,169.5,77.0,28.82,124.0,87.0,10.54,219.4,92.0,9.87,10.0,3.0,2.7,0.0, False.
DE,113.0,415.0, no, no,0.0,239.7,47.0,40.75,282.9,110.0,24.05,238.4,88.0,10.73,8.7,3.0,2.35,2.0, True.
DE,224.0,510.0, yes, no,0.0,171.5,99.0,29.16,160.0,103.0,13.6,212.4,102.0,9.56,5.0,2.0,1.35,1.0, True.
AZ,117.0,408.0, no, no,0.0,239.9,84.0,40.78,174.8,106.0,14.86,209.5,93.0,9.43,9.8,2.0,2.65,0.0, False.
SD,128.0,408.0, no, yes,34.0,142.3,73.0,24.19,194.8,79.0,16.56,239.3,81.0,10.77,16.0,6.0,4.32,1.0, False.
NV,115.0,415.0, no, no,0.0,184.1,98.0,31.3,327.0,73.0,27.8,212.5,106.0,9.56,7.5,6.0,2.03,2.0, False.
NM,141.0,415.0, no, yes,28.0,206.9,126.0,35.17,264.4,126.0,22.47,171.8,124.0,7.73,9.3,11.0,2.51,2.0, False.
MN,51.0,510.0, no, no,0.0,259.9,114.0,44.18,176.2,94.0,14.98,77.2,112.0,3.47,15.3,1.0,4.13,1.0, False.
NJ,100.0,415.0, no, no,0.0,203.8,122.0,34.65,283.1,76.0,24.06,197.3,83.0,8.88,12.5,3.0,3.38,0.0, False.
IN,96.0,415.0, no, yes,45.0,248.8,124.0,42.3,140.3,77.0,11.93,263.6,102.0,11.86,10.3,2.0,2.78,3.0, False.
DC,112.0,415.0, no, yes,16.0,221.6,110.0,37.67,130.2,123.0,11.07,200.0,108.0,9.0,11.3,3.0,3.05,1.0, False.
MA,129.0,510.0, yes, no,0.0,192.9,131.0,32.79,185.5,101.0,15.77,205.2,130.0,9.23,10.9,4.0,2.94,1.0, False.
ME,163.0,415.0, no, no,0.0,122.4,129.0,20.81,113.4,108.0,9.64,180.2,97.0,8.11,12.5,7.0,3.38,1.0, False.
NH,67.0,415.0, no, yes,40.0,104.9,65.0,17.83,216.3,93.0,18.39,217.4,128.0,9.78,9.6,9.0,2.59,1.0, False.
AZ,140.0,408.0, no, no,0.0,173.2,91.0,29.44,196.8,106.0,16.73,209.3,128.0,9.42,11.2,5.0,3.02,3.0, False.
OR,49.0,510.0, no, no,0.0,119.4,69.0,20.3,273.3,92.0,23.23,214.4,153.0,9.65,12.4,7.0,3.35,2.0, False.
KS,46.0,510.0, no, no,0.0,250.3,100.0,42.55,260.6,90.0,22.15,195.0,104.0,8.78,13.3,2.0,3.59,2.0, True.
NE,148.0,415.0, no, no,0.0,178.3,98.0,30.31,282.6,110.0,24.02,181.0,98.0,8.15,11.4,4.0,3.08,1.0, False.
MI,112.0,510.0, no, no,0.0,243.4,77.0,41.38,182.1,97.0,15.48,259.2,94.0,11.66,12.8,2.0,3.46,1.0, False.
SC,78.0,415.0, no, no,0.0,155.0,106.0,26.35,175.3,101.0,14.9,155.6,125.0,7.0,11.8,5.0,3.19,2.0, False.
PA,61.0,408.0, no, yes,31.0,288.7,101.0,49.08,203.8,102.0,17.32,203.2,49.0,9.14,8.6,3.0,2.32,0.0, False.
MT,58.0,510.0, no, yes,29.0,240.4,80.0,40.87,118.9,91.0,10.11,164.2,108.0,7.39,11.2,3.0,3.02,1.0, False.
NM,155.0,415.0, no, no,0.0,190.3,123.0,32.35,301.3,96.0,25.61,214.6,134.0,9.66,8.0,3.0,2.16,1.0, False.
OH,100.0,510.0, no, no,0.0,278.0,76.0,47.26,176.7,74.0,15.02,219.5,126.0,9.88,8.3,4.0,2.24,0.0, True.
WY,113.0,510.0, no, no,0.0,155.0,93.0,26.35,330.6,106.0,28.1,189.4,123.0,8.52,13.5,3.0,3.65,1.0, False.
MI,81.0,415.0, no, no,0.0,153.5,99.0,26.1,197.6,102.0,16.8,198.5,86.0,8.93,6.3,2.0,1.7,2.0, False.
AR,135.0,510.0, no, yes,27.0,273.4,141.0,46.48,154.0,99.0,13.09,245.8,112.0,11.06,12.3,6.0,3.32,1.0, False.
FL,99.0,408.0, no, no,0.0,155.3,93.0,26.4,265.7,95.0,22.58,145.7,67.0,6.56,12.4,4.0,3.35,0.0, False.
AR,59.0,510.0, no, yes,29.0,133.1,114.0,22.63,221.2,82.0,18.8,131.6,103.0,5.92,6.8,3.0,1.84,1.0, False.
MO,135.0,510.0, no, no,0.0,246.8,129.0,41.96,187.8,121.0,15.96,154.5,109.0,6.95,12.6,5.0,3.4,1.0, False.
WI,85.0,408.0, yes, no,0.0,165.4,107.0,28.12,196.0,126.0,16.66,349.2,110.0,15.71,9.6,7.0,2.59,2.0, False.
TX,70.0,510.0, no, no,0.0,59.5,103.0,10.12,257.2,106.0,21.86,208.3,86.0,9.37,11.1,6.0,3.0,0.0, False.
TX,88.0,510.0, no, no,0.0,138.3,116.0,23.51,236.0,138.0,20.06,179.1,110.0,8.06,9.6,4.0,2.59,3.0, False.
NM,55.0,510.0, no, no,0.0,286.7,100.0,48.74,134.4,121.0,11.42,192.9,122.0,8.68,6.9,5.0,1.86,2.0, False.
GA,75.0,415.0, no, no,0.0,117.3,114.0,19.94,201.1,61.0,17.09,107.9,82.0,4.86,12.2,3.0,3.29,1.0, False.
ID,79.0,510.0, no, yes,21.0,264.3,79.0,44.93,202.8,118.0,17.24,173.4,92.0,7.8,6.3,3.0,1.7,4.0, False.
AL,85.0,408.0, no, no,0.0,127.9,107.0,21.74,271.2,124.0,23.05,202.2,76.0,9.1,12.5,5.0,3.38,0.0, False.
KS,86.0,408.0, no, yes,23.0,225.5,107.0,38.34,246.3,105.0,20.94,245.7,81.0,11.06,9.8,2.0,2.65,0.0, False.
SD,91.0,510.0, no, no,0.0,149.0,115.0,25.33,245.3,105.0,20.85,260.0,94.0,11.7,8.3,3.0,2.24,0.0, False.
LA,149.0,415.0, no, yes,20.0,198.9,77.0,33.81,274.0,88.0,23.29,190.7,76.0,8.58,14.3,9.0,3.86,1.0, False.
OH,97.0,408.0, no, no,0.0,256.4,125.0,43.59,273.9,100.0,23.28,222.7,101.0,10.02,11.1,1.0,3.0,1.0, True.
MA,88.0,415.0, no, no,0.0,264.8,124.0,45.02,245.4,112.0,20.86,160.5,115.0,7.22,14.8,2.0,4.0,1.0, True.
AZ,60.0,415.0, no, no,0.0,98.2,88.0,16.69,180.5,69.0,15.34,223.6,69.0,10.06,9.3,2.0,2.51,2.0, False.
KY,54.0,408.0, no, no,0.0,159.8,99.0,27.17,264.0,64.0,22.44,115.7,70.0,5.21,9.7,7.0,2.62,2.0, False.
DC,11.0,415.0, no, yes,28.0,190.6,86.0,32.4,220.1,122.0,18.71,180.3,80.0,8.11,6.0,3.0,1.62,3.0, False.
WA,109.0,415.0, no, no,0.0,184.0,120.0,31.28,120.4,119.0,10.23,153.7,86.0,6.92,11.0,3.0,2.97,0.0, False.
UT,90.0,415.0, no, no,0.0,261.8,128.0,44.51,220.6,104.0,18.75,136.6,91.0,6.15,9.6,5.0,2.59,1.0, False.
RI,115.0,408.0, no, no,0.0,147.9,109.0,25.14,228.4,117.0,19.41,299.7,90.0,13.49,9.6,9.0,2.59,3.0, False.
OH,144.0,415.0, no, yes,18.0,106.4,109.0,18.09,108.1,113.0,9.19,208.4,111.0,9.38,10.1,5.0,2.73,1.0, False.
NV,91.0,408.0, no, no,0.0,133.7,75.0,22.73,195.3,87.0,16.6,280.5,89.0,12.62,5.9,2.0,1.59,0.0, False.
ND,105.0,415.0, no, yes,23.0,193.5,85.0,32.9,220.2,90.0,18.72,272.4,111.0,12.26,8.5,5.0,2.3,0.0, False.
NV,71.0,415.0, yes, no,0.0,178.2,113.0,30.29,167.8,94.0,14.26,182.1,111.0,8.19,13.6,3.0,3.67,3.0, True.
FL,132.0,510.0, no, yes,36.0,226.2,103.0,38.45,181.6,125.0,15.44,258.8,102.0,11.65,10.5,5.0,2.84,3.0, True.
MD,112.0,415.0, no, no,0.0,170.4,103.0,28.97,200.2,71.0,17.02,258.3,100.0,11.62,11.6,4.0,3.13,1.0, False.
AZ,86.0,415.0, no, yes,32.0,70.9,163.0,12.05,166.7,121.0,14.17,244.9,105.0,11.02,11.1,5.0,3.0,3.0, False.
AL,41.0,510.0, no, yes,34.0,194.4,63.0,33.05,254.9,110.0,21.67,160.2,115.0,7.21,17.2,9.0,4.64,2.0, False.
NE,44.0,415.0, no, no,0.0,240.3,146.0,40.85,164.6,83.0,13.99,240.7,106.0,10.83,10.6,2.0,2.86,1.0, False.
NV,78.0,408.0, no, no,0.0,75.0,116.0,12.75,248.7,87.0,21.14,176.0,83.0,7.92,9.5,6.0,2.57,3.0, False.
IL,149.0,408.0, no, no,0.0,69.1,117.0,11.75,136.3,100.0,11.59,181.7,53.0,8.18,6.3,3.0,1.7,1.0, False.
WV,72.0,510.0, no, yes,33.0,96.6,59.0,16.42,315.4,98.0,26.81,163.3,117.0,7.35,6.2,4.0,1.67,4.0, True.
MI,139.0,415.0, no, yes,20.0,214.6,101.0,36.48,235.1,132.0,19.98,162.8,132.0,7.33,14.8,12.0,4.0,0.0, False.
AR,74.0,510.0, no, no,0.0,148.5,111.0,25.25,146.5,42.0,12.45,289.2,83.0,13.01,9.9,6.0,2.67,3.0, False.
UT,50.0,510.0, no, no,0.0,258.1,106.0,43.88,161.4,106.0,13.72,225.1,110.0,10.13,11.7,5.0,3.16,1.0, False.
GA,141.0,510.0, no, yes,23.0,149.7,112.0,25.45,162.5,118.0,13.81,220.3,115.0,9.91,7.6,2.0,2.05,3.0, False.
AZ,140.0,408.0, no, no,0.0,149.8,134.0,25.47,164.4,98.0,13.97,294.7,124.0,13.26,8.1,2.0,2.19,1.0, False.
ID,99.0,408.0, no, no,0.0,190.4,102.0,32.37,158.1,107.0,13.44,271.5,92.0,12.22,11.2,4.0,3.02,2.0, False.
HI,166.0,408.0, no, no,0.0,181.4,108.0,30.84,253.8,54.0,21.57,112.3,94.0,5.05,11.6,6.0,3.13,1.0, False.
NV,124.0,408.0, no, no,0.0,151.1,123.0,25.69,187.4,104.0,15.93,255.4,93.0,11.49,5.3,3.0,1.43,1.0, False.
MD,74.0,415.0, no, no,0.0,155.7,116.0,26.47,173.7,63.0,14.76,257.4,97.0,11.58,8.1,4.0,2.19,0.0, False.
GA,117.0,510.0, no, no,0.0,149.9,95.0,25.48,256.1,110.0,21.77,212.7,92.0,9.57,13.3,13.0,3.59,2.0, False.
GA,85.0,510.0, no, no,0.0,222.3,132.0,37.79,231.5,101.0,19.68,223.5,75.0,10.06,11.0,2.0,2.97,3.0, False.
UT,36.0,415.0, no, yes,16.0,149.4,111.0,25.4,131.8,113.0,11.2,132.7,87.0,5.97,6.7,2.0,1.81,0.0, False.
MA,102.0,510.0, yes, no,0.0,233.8,103.0,39.75,221.6,131.0,18.84,146.9,106.0,6.61,12.8,3.0,3.46,0.0, False.
IN,76.0,415.0, no, no,0.0,204.2,100.0,34.71,292.6,139.0,24.87,244.3,105.0,10.99,10.5,2.0,2.84,0.0, False.
VT,165.0,510.0, no, no,0.0,242.9,126.0,41.29,209.8,65.0,17.83,228.4,126.0,10.28,0.0,0.0,0.0,1.0, False.
IA,130.0,415.0, no, no,0.0,150.4,119.0,25.57,230.5,99.0,19.59,186.3,76.0,8.38,12.3,4.0,3.32,1.0, False.
IN,78.0,415.0, no, no,0.0,208.9,119.0,35.51,252.4,132.0,21.45,280.2,120.0,12.61,12.8,7.0,3.46,0.0, False.
AL,55.0,415.0, yes, no,0.0,191.9,91.0,32.62,256.1,110.0,21.77,203.7,101.0,9.17,14.3,6.0,3.86,1.0, True.
ME,92.0,415.0, yes, no,0.0,130.7,113.0,22.22,260.6,122.0,22.15,244.2,98.0,10.99,9.4,2.0,2.54,2.0, True.
RI,129.0,415.0, no, yes,33.0,119.6,104.0,20.33,278.7,88.0,23.69,263.4,175.0,11.85,5.9,2.0,1.59,2.0, False.
MD,18.0,408.0, no, no,0.0,273.6,93.0,46.51,114.6,116.0,9.74,250.6,120.0,11.28,8.2,4.0,2.21,1.0, False.
FL,161.0,415.0, yes, no,0.0,156.1,114.0,26.54,180.3,63.0,15.33,179.6,115.0,8.08,11.1,9.0,3.0,2.0, False.
CA,93.0,415.0, no, yes,36.0,178.7,134.0,30.38,178.6,102.0,15.18,126.8,82.0,5.71,8.0,4.0,2.16,2.0, False.
AL,144.0,415.0, no, no,0.0,177.5,93.0,30.18,287.4,75.0,24.43,180.5,118.0,8.12,11.9,3.0,3.21,2.0, False.
ME,75.0,408.0, yes, no,0.0,211.3,61.0,35.92,105.6,119.0,8.98,175.9,63.0,7.92,9.7,4.0,2.62,4.0, True.
WV,95.0,415.0, no, no,0.0,175.2,91.0,29.78,244.4,109.0,20.77,75.8,95.0,3.41,7.5,2.0,2.03,1.0, False.
SD,126.0,415.0, no, yes,23.0,114.3,102.0,19.43,190.3,103.0,16.18,240.4,111.0,10.82,12.6,7.0,3.4,3.0, False.
FL,124.0,415.0, no, yes,28.0,251.4,104.0,42.74,225.1,89.0,19.13,251.9,121.0,11.34,7.5,5.0,2.03,1.0, False.
MI,93.0,415.0, yes, no,0.0,216.9,61.0,36.87,207.4,120.0,17.63,221.7,110.0,9.98,17.5,5.0,4.73,1.0, True.
MI,109.0,415.0, yes, yes,26.0,217.2,138.0,36.92,145.5,111.0,12.37,280.7,76.0,12.63,9.3,3.0,2.51,0.0, False.
NM,80.0,510.0, no, no,0.0,206.3,97.0,35.07,154.9,98.0,13.17,263.6,82.0,11.86,12.4,12.0,3.35,0.0, False.
AK,41.0,415.0, no, no,0.0,159.3,66.0,27.08,125.9,75.0,10.7,261.9,76.0,11.79,11.1,5.0,3.0,1.0, False.
OH,136.0,415.0, no, yes,31.0,143.1,88.0,24.33,236.6,65.0,20.11,227.8,120.0,10.25,11.4,5.0,3.08,2.0, False.
MO,92.0,415.0, no, no,0.0,154.0,122.0,26.18,329.8,88.0,28.03,288.0,117.0,12.96,5.6,2.0,1.51,3.0, True.
KS,143.0,408.0, no, yes,24.0,186.6,69.0,31.72,222.0,116.0,18.87,234.9,138.0,10.57,11.6,5.0,3.13,1.0, False.
MS,118.0,415.0, no, yes,26.0,170.8,114.0,29.04,199.5,125.0,16.96,169.7,98.0,7.64,9.6,5.0,2.59,5.0, True.
VT,193.0,408.0, no, yes,17.0,124.0,102.0,21.08,202.9,81.0,17.25,205.1,129.0,9.23,12.3,3.0,3.32,1.0, False.
NE,73.0,415.0, no, no,0.0,198.3,94.0,33.71,279.3,101.0,23.74,146.2,87.0,6.58,14.8,8.0,4.0,3.0, False.
VA,62.0,408.0, no, no,0.0,172.8,101.0,29.38,204.8,97.0,17.41,240.8,90.0,10.84,9.1,8.0,2.46,2.0, False.
DE,30.0,415.0, no, yes,30.0,217.4,74.0,36.96,213.8,86.0,18.17,227.2,104.0,10.22,6.6,3.0,1.78,0.0, False.
AL,60.0,408.0, yes, yes,29.0,265.9,113.0,45.2,215.8,94.0,18.34,108.1,82.0,4.86,14.0,12.0,3.78,0.0, True.
ID,148.0,510.0, no, yes,14.0,93.6,137.0,15.91,193.8,72.0,16.47,144.9,84.0,6.52,17.5,5.0,4.73,1.0, False.
MS,96.0,510.0, no, no,0.0,98.2,100.0,16.69,307.2,88.0,26.11,182.5,120.0,8.21,7.6,1.0,2.05,2.0, False.
OK,52.0,408.0, no, no,0.0,214.7,68.0,36.5,158.6,138.0,13.48,123.4,114.0,5.55,9.4,4.0,2.54,2.0, False.
NM,87.0,415.0, no, no,0.0,168.2,92.0,28.59,224.7,100.0,19.1,169.5,99.0,7.63,12.9,3.0,3.48,1.0, False.
WI,41.0,408.0, no, no,0.0,202.9,97.0,34.49,153.8,104.0,13.07,113.5,92.0,5.11,9.0,3.0,2.43,3.0, False.
WV,112.0,415.0, no, no,0.0,261.4,108.0,44.44,154.5,102.0,13.13,130.9,90.0,5.89,11.6,2.0,3.13,1.0, False.
SC,88.0,510.0, no, no,0.0,73.3,86.0,12.46,161.4,82.0,13.72,239.6,76.0,10.78,8.2,3.0,2.21,4.0, True.
KY,122.0,408.0, no, yes,27.0,253.7,84.0,43.13,229.2,109.0,19.48,190.5,123.0,8.57,9.2,5.0,2.48,7.0, False.
MO,61.0,408.0, no, no,0.0,45.0,108.0,7.65,151.3,74.0,12.86,152.9,94.0,6.88,9.8,6.0,2.65,2.0, False.
IL,87.0,510.0, no, no,0.0,231.3,105.0,39.32,171.7,108.0,14.59,67.7,136.0,3.05,13.0,6.0,3.51,1.0, False.
OK,176.0,408.0, no, no,0.0,47.4,125.0,8.06,167.8,90.0,14.26,163.1,107.0,7.34,10.5,8.0,2.84,2.0, False.
MI,30.0,510.0, no, no,0.0,227.4,88.0,38.66,182.5,100.0,15.51,191.7,134.0,8.63,12.5,3.0,3.38,0.0, False.
NJ,95.0,415.0, no, yes,22.0,40.9,126.0,6.95,133.4,90.0,11.34,264.2,91.0,11.89,11.9,7.0,3.21,0.0, False.
ID,46.0,415.0, no, no,0.0,124.8,133.0,21.22,157.3,143.0,13.37,199.3,72.0,8.97,8.6,4.0,2.32,2.0, False.
DC,100.0,510.0, yes, no,0.0,68.5,110.0,11.65,337.1,115.0,28.65,205.2,99.0,9.23,12.1,9.0,3.27,0.0, False.
NY,47.0,415.0, no, yes,37.0,163.5,77.0,27.8,203.1,102.0,17.26,232.0,87.0,10.44,7.8,4.0,2.11,2.0, False.
AL,77.0,415.0, no, no,0.0,163.0,112.0,27.71,219.1,89.0,18.62,233.4,66.0,10.5,6.7,3.0,1.81,2.0, False.
OR,98.0,415.0, no, yes,38.0,213.7,61.0,36.33,253.0,104.0,21.51,207.7,73.0,9.35,10.7,5.0,2.89,2.0, False.
OK,125.0,415.0, no, yes,36.0,201.3,117.0,34.22,42.2,78.0,3.59,125.7,104.0,5.66,5.4,3.0,1.46,1.0, False.
LA,67.0,510.0, no, no,0.0,310.4,97.0,52.77,66.5,123.0,5.65,246.5,99.0,11.09,9.2,10.0,2.48,4.0, False.
NE,194.0,408.0, no, no,0.0,48.4,101.0,8.23,281.1,138.0,23.89,218.5,87.0,9.83,18.2,1.0,4.91,1.0, False.
TX,128.0,415.0, no, yes,40.0,171.2,88.0,29.1,145.7,109.0,12.38,196.8,93.0,8.86,14.0,6.0,3.78,1.0, False.
UT,190.0,415.0, no, yes,22.0,166.5,93.0,28.31,183.0,92.0,15.56,121.0,102.0,5.44,8.5,3.0,2.3,0.0, False.
OR,165.0,415.0, no, no,0.0,216.6,126.0,36.82,190.8,104.0,16.22,224.7,123.0,10.11,12.4,8.0,3.35,0.0, False.
NY,59.0,408.0, no, no,0.0,107.8,113.0,18.33,216.6,125.0,18.41,217.5,92.0,9.79,9.9,3.0,2.67,2.0, False.
AL,47.0,408.0, no, yes,28.0,141.3,94.0,24.02,168.0,108.0,14.28,113.5,84.0,5.11,7.8,2.0,2.11,1.0, False.
RI,150.0,415.0, no, yes,29.0,209.9,77.0,35.68,158.0,52.0,13.43,141.9,113.0,6.39,6.6,1.0,1.78,0.0, False.
MN,152.0,415.0, yes, yes,20.0,237.5,120.0,40.38,253.4,94.0,21.54,265.2,80.0,11.93,14.2,3.0,3.83,9.0, True.
NC,26.0,415.0, no, no,0.0,234.5,109.0,39.87,216.5,129.0,18.4,191.6,94.0,8.62,3.5,6.0,0.95,3.0, False.
MD,79.0,510.0, no, yes,31.0,103.1,90.0,17.53,243.0,135.0,20.66,76.4,92.0,3.44,12.2,8.0,3.29,3.0, False.
RI,95.0,510.0, no, yes,27.0,129.5,106.0,22.02,248.9,90.0,21.16,268.0,115.0,12.06,11.9,3.0,3.21,1.0, False.
WI,69.0,510.0, yes, no,0.0,279.8,90.0,47.57,248.7,91.0,21.14,171.0,118.0,7.69,8.4,10.0,2.27,2.0, True.
VT,95.0,510.0, yes, yes,41.0,136.8,91.0,23.26,200.8,61.0,17.07,133.7,67.0,6.02,10.3,9.0,2.78,5.0, True.
CT,31.0,415.0, no, yes,31.0,100.1,54.0,17.02,246.3,97.0,20.94,255.0,131.0,11.48,5.9,3.0,1.59,0.0, False.
OK,121.0,408.0, no, yes,31.0,237.1,63.0,40.31,205.6,117.0,17.48,196.7,85.0,8.85,10.1,5.0,2.73,4.0, False.
AK,111.0,415.0, no, no,0.0,172.8,58.0,29.38,183.1,108.0,15.56,158.8,104.0,7.15,7.9,3.0,2.13,4.0, True.
NY,157.0,415.0, no, no,0.0,224.5,111.0,38.17,200.7,99.0,17.06,116.6,118.0,5.25,11.5,2.0,3.11,2.0, False.
GA,44.0,510.0, no, no,0.0,288.1,112.0,48.98,258.0,92.0,21.93,192.4,90.0,8.66,10.2,4.0,2.75,3.0, True.
UT,61.0,510.0, yes, no,0.0,78.2,103.0,13.29,195.9,149.0,16.65,108.0,100.0,4.86,10.1,6.0,2.73,2.0, False.
NM,65.0,415.0, no, no,0.0,148.7,80.0,25.28,259.0,94.0,22.02,149.5,107.0,6.73,12.7,6.0,3.43,2.0, False.
NE,74.0,415.0, no, yes,25.0,194.6,84.0,33.08,119.9,103.0,10.19,175.5,75.0,7.9,13.1,2.0,3.54,2.0, False.
